,Id,MSSubClass,MSZoning,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,OpenPorchSF,PoolArea,MoSold,YrSold,SalePrice
10,11,20,RL,11200,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1Story,5,5,1965,1965,Hip,TA,TA,CBlock,TA,TA,906,134,1040,GasA,Ex,Y,SBrkr,1040,0,1040,1,0,3,1,TA,5,0,1,384,0,0,2,2008,129500
11,12,60,RL,11924,Pave,IR1,Lvl,AllPub,Inside,Gtl,1Fam,2Story,9,5,2005,2006,Hip,Ex,TA,PConc,Ex,TA,998,177,1175,GasA,Ex,Y,SBrkr,1182,1142,2324,3,0,4,1,Ex,11,2,3,736,21,0,7,2006,345000
12,13,20,RL,12968,Pave,IR2,Lvl,AllPub,Inside,Gtl,1Fam,1Story,5,6,1962,1962,Hip,TA,TA,CBlock,TA,TA,737,175,912,GasA,TA,Y,SBrkr,912,0,912,1,0,2,1,TA,4,0,1,352,0,0,9,2008,144000
13,14,20,RL,10652,Pave,IR1,Lvl,AllPub,Inside,Gtl,1Fam,1Story,7,5,2006,2007,Gable,Gd,TA,PConc,Gd,TA,0,1494,1494,GasA,Ex,Y,SBrkr,1494,0,1494,2,0,3,1,Gd,7,1,3,840,33,0,8,2007,279500
14,15,20,RL,10920,Pave,IR1,Lvl,AllPub,Corner,Gtl,1Fam,1Story,6,5,1960,1960,Hip,TA,TA,CBlock,TA,TA,733,520,1253,GasA,TA,Y,SBrkr,1253,0,1253,1,1,2,1,TA,5,1,1,352,213,0,5,2008,157000
15,16,45,RM,6120,Pave,Reg,Lvl,AllPub,Corner,Gtl,1Fam,1.5Unf,7,8,1929,2001,Gable,TA,TA,BrkTil,TA,TA,0,832,832,GasA,Ex,Y,FuseA,854,0,854,1,0,2,1,TA,5,0,2,576,112,0,7,2007,132000
16,17,20,RL,11241,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,1Fam,1Story,6,7,1970,1970,Gable,TA,TA,CBlock,TA,TA,578,426,1004,GasA,Ex,Y,SBrkr,1004,0,1004,1,0,2,1,TA,5,1,2,480,0,0,3,2010,149000
17,18,90,RL,10791,Pave,Reg,Lvl,AllPub,Inside,Gtl,Duplex,1Story,4,5,1967,1967,Gable,TA,TA,Slab,,,0,0,0,GasA,TA,Y,SBrkr,1296,0,1296,2,0,2,2,TA,6,0,2,516,0,0,10,2006,90000
18,19,20,RL,13695,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1Story,5,5,2004,2004,Gable,TA,TA,PConc,TA,TA,646,468,1114,GasA,Ex,Y,SBrkr,1114,0,1114,1,1,3,1,Gd,6,0,2,576,102,0,6,2008,159000
19,20,20,RL,7560,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1Story,5,6,1958,1965,Hip,TA,TA,CBlock,TA,TA,504,525,1029,GasA,TA,Y,SBrkr,1339,0,1339,1,0,3,1,TA,6,0,1,294,0,0,5,2009,139000
20,21,60,RL,14215,Pave,IR1,Lvl,AllPub,Corner,Gtl,1Fam,2Story,8,5,2005,2006,Gable,Gd,TA,PConc,Ex,TA,0,1158,1158,GasA,Ex,Y,SBrkr,1158,1218,2376,3,1,4,1,Gd,9,1,3,853,154,0,11,2006,325300
21,22,45,RM,7449,Pave,Reg,Bnk,AllPub,Inside,Gtl,1Fam,1.5Unf,7,7,1930,1950,Gable,TA,TA,PConc,TA,TA,0,637,637,GasA,Ex,Y,FuseF,1108,0,1108,1,0,3,1,Gd,6,1,1,280,0,0,6,2007,139400
22,23,20,RL,9742,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1Story,8,5,2002,2002,Hip,Gd,TA,PConc,Gd,TA,0,1777,1777,GasA,Ex,Y,SBrkr,1795,0,1795,2,0,3,1,Gd,7,1,2,534,159,0,9,2008,230000
23,24,120,RM,4224,Pave,Reg,Lvl,AllPub,Inside,Gtl,TwnhsE,1Story,5,7,1976,1976,Gable,TA,TA,PConc,Gd,TA,840,200,1040,GasA,TA,Y,SBrkr,1060,0,1060,1,0,3,1,TA,6,1,2,572,110,0,6,2007,129900
24,25,20,RL,8246,Pave,IR1,Lvl,AllPub,Inside,Gtl,1Fam,1Story,5,8,1968,2001,Gable,TA,Gd,CBlock,TA,TA,188,204,1060,GasA,Ex,Y,SBrkr,1060,0,1060,1,0,3,1,Gd,6,1,1,270,90,0,5,2010,154000
25,26,20,RL,14230,Pave,Reg,Lvl,AllPub,Corner,Gtl,1Fam,1Story,8,5,2007,2007,Gable,Gd,TA,PConc,Gd,TA,0,1566,1566,GasA,Ex,Y,SBrkr,1600,0,1600,2,0,3,1,Gd,7,1,3,890,56,0,7,2009,256300
26,27,20,RL,7200,Pave,Reg,Lvl,AllPub,Corner,Gtl,1Fam,1Story,5,7,1951,2000,Gable,TA,TA,CBlock,TA,TA,234,180,900,GasA,TA,Y,SBrkr,900,0,900,1,0,3,1,Gd,5,0,2,576,32,0,5,2010,134800
27,28,20,RL,11478,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1Story,8,5,2007,2008,Gable,Gd,TA,PConc,Ex,TA,1218,486,1704,GasA,Ex,Y,SBrkr,1704,0,1704,2,0,3,1,Gd,7,1,3,772,50,0,5,2010,306000
28,29,20,RL,16321,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,1Fam,1Story,5,6,1957,1997,Gable,TA,TA,CBlock,TA,TA,1277,207,1484,GasA,TA,Y,SBrkr,1600,0,1600,1,0,2,1,TA,6,2,1,319,258,0,12,2006,207500
29,30,30,RM,6324,Pave,IR1,Lvl,AllPub,Inside,Gtl,1Fam,1Story,4,6,1927,1950,Gable,TA,TA,BrkTil,TA,TA,0,520,520,GasA,Fa,N,SBrkr,520,0,520,1,0,1,1,Fa,4,0,1,240,0,0,5,2008,68500
30,31,70,C (all),8500,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,2Story,4,4,1920,1950,Gambrel,TA,Fa,BrkTil,TA,TA,0,649,649,GasA,TA,N,SBrkr,649,668,1317,1,0,3,1,TA,6,0,1,250,54,0,7,2008,40000
31,32,20,RL,8544,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,1Fam,1Story,5,6,1966,2006,Gable,TA,TA,CBlock,TA,TA,0,1228,1228,GasA,Gd,Y,SBrkr,1228,0,1228,1,1,3,1,Gd,6,0,1,271,65,0,6,2008,149350
32,33,20,RL,11049,Pave,Reg,Lvl,AllPub,Corner,Gtl,1Fam,1Story,8,5,2007,2007,Gable,Gd,TA,PConc,Ex,TA,0,1234,1234,GasA,Ex,Y,SBrkr,1234,0,1234,2,0,3,1,Gd,7,0,2,484,30,0,1,2008,179900
33,34,20,RL,10552,Pave,IR1,Lvl,AllPub,Inside,Gtl,1Fam,1Story,5,5,1959,1959,Hip,TA,TA,CBlock,TA,TA,1018,380,1398,GasA,Gd,Y,SBrkr,1700,0,1700,1,1,4,1,Gd,6,1,2,447,38,0,4,2010,165500
34,35,120,RL,7313,Pave,Reg,Lvl,AllPub,Inside,Gtl,TwnhsE,1Story,9,5,2005,2005,Hip,Ex,TA,PConc,Ex,TA,1153,408,1561,GasA,Ex,Y,SBrkr,1561,0,1561,2,0,2,1,Ex,6,1,2,556,47,0,8,2007,277500
35,36,60,RL,13418,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,2Story,8,5,2004,2005,Gable,Gd,TA,PConc,Ex,TA,0,1117,1117,GasA,Ex,Y,SBrkr,1132,1320,2452,3,1,4,1,Gd,9,1,3,691,32,0,9,2006,309000
36,37,20,RL,10859,Pave,Reg,Lvl,AllPub,Corner,Gtl,1Fam,1Story,5,5,1994,1995,Gable,TA,TA,PConc,Gd,TA,0,1097,1097,GasA,Ex,Y,SBrkr,1097,0,1097,1,1,3,1,TA,6,0,2,672,64,0,6,2009,145000
37,38,20,RL,8532,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1Story,5,6,1954,1990,Hip,TA,TA,CBlock,TA,TA,1213,84,1297,GasA,Gd,Y,SBrkr,1297,0,1297,1,0,3,1,TA,5,1,2,498,0,0,10,2009,153000
38,39,20,RL,7922,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1Story,5,7,1953,2007,Gable,TA,Gd,CBlock,TA,TA,731,326,1057,GasA,TA,Y,SBrkr,1057,0,1057,1,0,3,1,Gd,5,0,1,246,52,0,1,2010,109000
39,40,90,RL,6040,Pave,Reg,Lvl,AllPub,Inside,Gtl,Duplex,1Story,4,5,1955,1955,Gable,TA,TA,PConc,,,0,0,0,GasA,TA,N,FuseP,1152,0,1152,2,0,2,2,Fa,6,0,0,0,0,0,6,2008,82000
40,41,20,RL,8658,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1Story,6,5,1965,1965,Gable,TA,TA,CBlock,TA,TA,643,445,1088,GasA,Ex,Y,SBrkr,1324,0,1324,2,0,3,1,TA,6,1,2,440,138,0,12,2006,160000
41,42,20,RL,16905,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1Story,5,6,1959,1959,Gable,TA,Gd,CBlock,TA,TA,967,383,1350,GasA,Gd,Y,SBrkr,1328,0,1328,1,1,2,1,TA,5,2,1,308,104,0,7,2007,170000
42,43,85,RL,9180,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,1Fam,SFoyer,5,7,1983,1983,Gable,TA,TA,CBlock,Gd,TA,747,0,840,GasA,Gd,Y,SBrkr,884,0,884,1,0,2,1,Gd,5,0,2,504,0,0,12,2007,144000
43,44,20,RL,9200,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,1Fam,1Story,5,6,1975,1980,Hip,TA,TA,CBlock,Gd,TA,280,167,938,GasA,TA,Y,SBrkr,938,0,938,1,0,3,1,TA,5,0,1,308,0,0,7,2008,130250
44,45,20,RL,7945,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1Story,5,6,1959,1959,Gable,TA,TA,CBlock,TA,TA,179,465,1150,GasA,Ex,Y,FuseA,1150,0,1150,1,0,3,1,TA,6,0,1,300,0,0,5,2006,141000
45,46,120,RL,7658,Pave,Reg,Lvl,AllPub,Inside,Gtl,TwnhsE,1Story,9,5,2005,2005,Hip,Ex,TA,PConc,Ex,TA,456,1296,1752,GasA,Ex,Y,SBrkr,1752,0,1752,2,0,2,1,Ex,6,1,2,576,82,0,2,2010,319900
46,47,50,RL,12822,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,1Fam,1.5Fin,7,5,2003,2003,Gable,Gd,TA,PConc,Ex,TA,1351,83,1434,GasA,Ex,Y,SBrkr,1518,631,2149,1,1,1,1,Gd,6,1,2,670,43,0,8,2009,239686
47,48,20,FV,11096,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1Story,8,5,2006,2006,Gable,Gd,TA,PConc,Gd,TA,24,1632,1656,GasA,Ex,Y,SBrkr,1656,0,1656,2,0,3,1,Gd,7,0,3,826,146,0,7,2007,249700
48,49,190,RM,4456,Pave,Reg,Lvl,AllPub,Inside,Gtl,2fmCon,2Story,4,5,1920,2008,Gable,TA,TA,BrkTil,TA,TA,0,736,736,GasA,Gd,Y,SBrkr,736,716,1452,2,0,2,3,TA,8,0,0,0,0,0,6,2009,113000
49,50,20,RL,7742,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1Story,5,7,1966,1966,Gable,TA,TA,CBlock,TA,TA,763,192,955,GasA,Ex,Y,SBrkr,955,0,955,1,0,3,1,TA,6,0,1,386,0,0,1,2007,127000
50,51,60,RL,13869,Pave,IR2,Lvl,AllPub,Corner,Gtl,1Fam,2Story,6,6,1997,1997,Gable,TA,TA,PConc,Gd,TA,182,612,794,GasA,Gd,Y,SBrkr,794,676,1470,2,0,3,1,TA,6,0,2,388,75,0,7,2007,177000
51,52,50,RM,6240,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1.5Fin,6,6,1934,1950,Gable,TA,TA,PConc,TA,TA,0,816,816,GasA,TA,Y,SBrkr,816,0,1176,1,0,3,1,TA,6,1,2,528,0,0,9,2006,114500
52,53,90,RM,8472,Grvl,IR2,Bnk,AllPub,Corner,Mod,Duplex,1Story,5,5,1963,1963,Gable,Fa,TA,CBlock,Gd,TA,104,0,816,GasA,TA,N,SBrkr,816,0,816,1,0,2,1,TA,5,0,2,516,0,0,5,2010,110000
53,54,20,RL,50271,Pave,IR1,Low,AllPub,Inside,Gtl,1Fam,1Story,9,5,1981,1987,Gable,Gd,TA,CBlock,Ex,TA,1810,32,1842,GasA,Gd,Y,SBrkr,1842,0,1842,0,1,0,1,Gd,5,1,3,894,72,0,11,2006,385000
54,55,80,RL,7134,Pave,Reg,Bnk,AllPub,Inside,Mod,1Fam,SLvl,5,5,1955,1955,Gable,TA,TA,CBlock,TA,TA,384,0,384,GasA,TA,Y,SBrkr,1360,0,1360,1,0,3,1,TA,6,1,2,572,50,0,2,2007,130000
55,56,20,RL,10175,Pave,IR1,Lvl,AllPub,Inside,Gtl,1Fam,1Story,6,5,1964,1964,Gable,TA,TA,CBlock,TA,TA,490,935,1425,GasA,Gd,Y,SBrkr,1425,0,1425,2,0,3,1,TA,7,1,2,576,0,0,7,2008,180500
56,57,160,FV,2645,Pave,Reg,Lvl,AllPub,Inside,Gtl,Twnhs,2Story,8,5,1999,2000,Gable,Gd,TA,PConc,Gd,TA,649,321,970,GasA,Ex,Y,SBrkr,983,756,1739,2,1,3,1,Gd,7,0,2,480,0,0,8,2009,172500
57,58,60,RL,11645,Pave,IR1,Lvl,AllPub,Corner,Gtl,1Fam,2Story,7,5,2004,2004,Gable,Gd,TA,PConc,Gd,TA,0,860,860,GasA,Ex,Y,SBrkr,860,860,1720,2,1,3,1,Gd,7,0,2,565,70,0,8,2006,196500
58,59,60,RL,13682,Pave,IR2,HLS,AllPub,CulDSac,Gtl,1Fam,2Story,10,5,2006,2006,Hip,Ex,TA,PConc,Ex,TA,0,1410,1410,GasA,Ex,Y,SBrkr,1426,1519,2945,3,1,3,1,Gd,10,1,3,641,0,0,10,2006,438780
59,60,20,RL,7200,Pave,Reg,Bnk,AllPub,Inside,Gtl,1Fam,1Story,5,7,1972,1972,Gable,TA,TA,CBlock,TA,TA,632,148,780,GasA,Ex,Y,SBrkr,780,0,780,1,0,2,1,TA,4,0,1,352,0,0,1,2008,124900
60,61,20,RL,13072,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1Story,6,5,2004,2004,Gable,TA,TA,PConc,Gd,TA,941,217,1158,GasA,Ex,Y,SBrkr,1158,0,1158,1,1,3,1,Gd,5,0,2,576,50,0,5,2006,158000
61,62,75,RM,7200,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,2.5Unf,5,7,1920,1996,Gable,TA,TA,BrkTil,TA,Fa,0,530,530,GasA,TA,N,SBrkr,581,530,1111,1,0,3,1,Fa,6,0,1,288,0,0,3,2007,101000
62,63,120,RL,6442,Pave,IR1,Lvl,AllPub,Inside,Gtl,TwnhsE,1Story,8,5,2006,2006,Gable,Gd,TA,PConc,Gd,Gd,24,1346,1370,GasA,Ex,Y,SBrkr,1370,0,1370,2,0,2,1,Gd,6,1,2,484,49,0,10,2007,202500
63,64,70,RM,10300,Pave,IR1,Bnk,AllPub,Inside,Gtl,1Fam,2Story,7,6,1921,1950,Gable,TA,TA,BrkTil,TA,TA,0,576,576,GasA,Gd,Y,SBrkr,902,808,1710,2,0,3,1,TA,9,0,2,480,11,0,4,2010,140000
64,65,60,RL,9375,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,2Story,7,5,1997,1998,Gable,TA,TA,PConc,Gd,TA,739,318,1057,GasA,Ex,Y,SBrkr,1057,977,2034,2,1,3,1,Gd,8,0,2,645,36,0,2,2009,219500
65,66,60,RL,9591,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,2Story,8,5,2004,2005,Gable,Gd,TA,PConc,Ex,TA,0,1143,1143,GasA,Ex,Y,SBrkr,1143,1330,2473,2,1,4,1,Gd,9,1,3,852,151,0,10,2007,317000
66,67,20,RL,19900,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1Story,7,5,1970,1989,Gable,TA,TA,CBlock,Gd,TA,912,1035,1947,GasA,TA,Y,SBrkr,2207,0,2207,2,0,3,1,TA,7,1,2,576,0,0,7,2010,180000
67,68,20,RL,10665,Pave,IR1,Lvl,AllPub,Inside,Gtl,1Fam,1Story,7,5,2003,2003,Gable,Gd,TA,PConc,Gd,TA,1013,440,1453,GasA,Ex,Y,SBrkr,1479,0,1479,2,0,3,1,Gd,7,0,2,558,29,0,6,2007,226000
68,69,30,RM,4608,Pave,Reg,Lvl,AllPub,Corner,Gtl,1Fam,1Story,4,6,1945,1950,Gable,TA,Gd,CBlock,TA,TA,0,747,747,GasA,TA,Y,SBrkr,747,0,747,1,0,2,1,TA,4,0,1,220,0,0,6,2010,80000
69,70,50,RL,15593,Pave,Reg,Lvl,AllPub,Corner,Gtl,1Fam,1.5Fin,7,4,1953,1953,Gable,Gd,TA,CBlock,TA,TA,603,701,1304,GasW,TA,Y,SBrkr,1304,983,2287,2,0,3,1,TA,7,1,2,667,21,0,7,2006,225000
70,71,20,RL,13651,Pave,IR1,Lvl,AllPub,Inside,Gtl,1Fam,1Story,7,6,1973,1973,Gable,TA,Gd,CBlock,Gd,TA,1880,343,2223,GasA,Ex,Y,SBrkr,2223,0,2223,2,0,3,1,TA,8,2,2,516,0,0,2,2007,244000
71,72,20,RL,7599,Pave,Reg,Lvl,AllPub,Corner,Gtl,1Fam,1Story,4,6,1982,2006,Gable,TA,TA,CBlock,TA,TA,565,280,845,GasA,TA,Y,SBrkr,845,0,845,1,0,2,1,TA,4,0,2,360,0,0,6,2007,129500
72,73,60,RL,10141,Pave,IR1,Lvl,AllPub,Corner,Gtl,1Fam,2Story,7,5,1998,1998,Gable,TA,TA,PConc,Gd,TA,0,832,832,GasA,Gd,Y,SBrkr,885,833,1718,2,1,3,1,TA,7,1,2,427,94,0,12,2009,185000
73,74,20,RL,10200,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1Story,5,7,1954,2003,Gable,TA,TA,CBlock,TA,TA,320,404,1086,GasA,Gd,Y,SBrkr,1086,0,1086,1,0,3,1,TA,6,0,2,490,0,0,5,2010,144900
74,75,50,RM,5790,Pave,Reg,Lvl,AllPub,Corner,Gtl,1Fam,2Story,3,6,1915,1950,Gambrel,Gd,Gd,CBlock,Fa,TA,0,840,840,GasA,Gd,N,SBrkr,840,765,1605,2,0,3,2,TA,8,0,1,379,0,0,5,2010,107400
75,76,180,RM,1596,Pave,Reg,Lvl,AllPub,Inside,Gtl,Twnhs,SLvl,4,5,1973,1973,Gable,TA,TA,CBlock,Gd,TA,462,0,462,GasA,TA,Y,SBrkr,526,462,988,1,0,2,1,TA,5,0,1,297,101,0,11,2009,91000
76,77,20,RL,8475,Pave,IR1,Lvl,AllPub,Inside,Gtl,1Fam,1Story,4,7,1956,1956,Gable,TA,TA,CBlock,TA,TA,228,724,952,GasA,Ex,Y,FuseA,952,0,952,1,0,2,1,TA,4,0,1,283,0,0,4,2008,135750
77,78,50,RM,8635,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1.5Fin,5,5,1948,2001,Gable,TA,TA,CBlock,TA,TA,336,295,672,GasA,TA,Y,SBrkr,1072,213,1285,1,0,2,1,TA,6,0,1,240,0,0,1,2008,127000
78,79,90,RL,10778,Pave,Reg,Lvl,AllPub,Inside,Gtl,Duplex,1Story,4,5,1968,1968,Hip,TA,TA,CBlock,TA,TA,0,1768,1768,GasA,TA,N,SBrkr,1768,0,1768,2,0,4,2,TA,8,0,0,0,0,0,4,2010,136500
79,80,50,RM,10440,Pave,Reg,Lvl,AllPub,Corner,Gtl,1Fam,2Story,5,6,1910,1981,Gable,TA,TA,PConc,TA,TA,0,440,440,GasA,Gd,Y,SBrkr,682,548,1230,1,1,2,1,TA,5,0,2,440,0,0,5,2009,110000
80,81,60,RL,13000,Pave,Reg,Lvl,AllPub,Corner,Gtl,1Fam,2Story,6,6,1968,1968,Gable,TA,Gd,CBlock,Gd,TA,448,448,896,GasA,TA,Y,SBrkr,1182,960,2142,2,1,4,1,Gd,8,1,1,509,72,0,6,2009,193500
81,82,120,RM,4500,Pave,Reg,Lvl,AllPub,FR2,Gtl,TwnhsE,1Story,6,5,1998,1998,Hip,TA,Gd,PConc,Ex,Gd,1201,36,1237,GasA,Ex,Y,SBrkr,1337,0,1337,2,0,2,1,TA,5,0,2,405,199,0,3,2006,153500
82,83,20,RL,10206,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1Story,8,5,2007,2007,Gable,TA,TA,PConc,Gd,TA,33,1530,1563,GasA,Ex,Y,SBrkr,1563,0,1563,2,0,3,1,Gd,6,1,3,758,99,0,10,2008,245000
83,84,20,RL,8892,Pave,IR1,Lvl,AllPub,Inside,Gtl,1Fam,1Story,5,5,1960,1960,Gable,TA,TA,CBlock,TA,TA,0,1065,1065,GasA,Gd,Y,SBrkr,1065,0,1065,1,1,3,1,TA,6,0,2,461,0,0,7,2007,126500
84,85,80,RL,8530,Pave,IR1,Lvl,AllPub,Inside,Gtl,1Fam,SLvl,7,5,1995,1996,Gable,TA,TA,PConc,Gd,TA,0,384,384,GasA,Gd,Y,SBrkr,804,670,1474,2,1,3,1,TA,7,1,2,400,72,0,5,2009,168500
85,86,60,RL,16059,Pave,Reg,Lvl,AllPub,Corner,Gtl,1Fam,2Story,8,5,1991,1992,Hip,Gd,TA,CBlock,Gd,TA,0,1288,1288,GasA,Ex,Y,SBrkr,1301,1116,2417,2,1,4,1,Gd,9,1,2,462,82,0,4,2006,260000
86,87,60,RL,11911,Pave,IR2,Lvl,AllPub,Inside,Gtl,1Fam,2Story,6,5,2005,2005,Gable,Gd,TA,PConc,Gd,TA,0,684,684,GasA,Ex,Y,SBrkr,684,876,1560,2,1,3,1,Gd,6,1,2,400,38,0,3,2009,174000
87,88,160,FV,3951,Pave,Reg,Lvl,AllPub,Corner,Gtl,TwnhsE,2Story,6,5,2009,2009,Gable,Gd,TA,PConc,Gd,TA,0,612,612,GasA,Ex,Y,SBrkr,612,612,1224,2,1,2,1,Gd,4,0,2,528,234,0,6,2009,164500
88,89,50,C (all),8470,Pave,IR1,Lvl,AllPub,Corner,Gtl,1Fam,1.5Fin,3,2,1915,1982,Hip,Fa,Fa,CBlock,TA,Fa,0,1013,1013,GasA,TA,N,SBrkr,1013,0,1526,1,0,2,1,Fa,6,0,0,0,0,0,10,2009,85000
89,90,20,RL,8070,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1Story,4,5,1994,1995,Gable,TA,TA,PConc,Gd,TA,588,402,990,GasA,Ex,Y,SBrkr,990,0,990,1,0,3,1,TA,5,0,0,0,0,0,8,2007,123600
90,91,20,RL,7200,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1Story,4,5,1950,1950,Gable,TA,TA,Slab,,,0,0,0,GasA,TA,Y,FuseA,1040,0,1040,1,0,2,1,TA,4,0,2,420,29,0,7,2006,109900
91,92,20,RL,8500,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1Story,5,3,1961,1961,Hip,TA,TA,CBlock,TA,TA,600,635,1235,GasA,TA,Y,SBrkr,1235,0,1235,1,0,2,1,TA,6,0,2,480,0,0,12,2006,98600
92,93,30,RL,13360,Pave,IR1,HLS,AllPub,Inside,Gtl,1Fam,1Story,5,7,1921,2006,Gable,TA,Gd,BrkTil,Gd,TA,713,163,876,GasA,Ex,Y,SBrkr,964,0,964,1,0,2,1,TA,5,0,2,432,0,0,8,2009,163500
