,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageCars,GarageArea,OpenPorchSF,PoolArea,PoolQC,Fence,MoSold,YrSold,SaleCondition,SaleFlag
10,20,RL,70.0,11200,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1Story,5,5,1965,1965,Hip,TA,TA,CBlock,TA,TA,906,134,1040,GasA,Ex,Y,SBrkr,1040,0,1040,1,0,3,1,TA,5,0,,1,384,0,0,,,2,2008,Normal,Normal
11,60,RL,85.0,11924,Pave,IR1,Lvl,AllPub,Inside,Gtl,1Fam,2Story,9,5,2005,2006,Hip,Ex,TA,PConc,Ex,TA,998,177,1175,GasA,Ex,Y,SBrkr,1182,1142,2324,3,0,4,1,Ex,11,2,Gd,3,736,21,0,,,7,2006,Partial,Abnorml
12,20,RL,,12968,Pave,IR2,Lvl,AllPub,Inside,Gtl,1Fam,1Story,5,6,1962,1962,Hip,TA,TA,CBlock,TA,TA,737,175,912,GasA,TA,Y,SBrkr,912,0,912,1,0,2,1,TA,4,0,,1,352,0,0,,,9,2008,Normal,Normal
13,20,RL,91.0,10652,Pave,IR1,Lvl,AllPub,Inside,Gtl,1Fam,1Story,7,5,2006,2007,Gable,Gd,TA,PConc,Gd,TA,0,1494,1494,GasA,Ex,Y,SBrkr,1494,0,1494,2,0,3,1,Gd,7,1,Gd,3,840,33,0,,,8,2007,Partial,Abnorml
14,20,RL,,10920,Pave,IR1,Lvl,AllPub,Corner,Gtl,1Fam,1Story,6,5,1960,1960,Hip,TA,TA,CBlock,TA,TA,733,520,1253,GasA,TA,Y,SBrkr,1253,0,1253,1,1,2,1,TA,5,1,Fa,1,352,213,0,,GdWo,5,2008,Normal,Normal
15,45,RM,51.0,6120,Pave,Reg,Lvl,AllPub,Corner,Gtl,1Fam,1.5Unf,7,8,1929,2001,Gable,TA,TA,BrkTil,TA,TA,0,832,832,GasA,Ex,Y,FuseA,854,0,854,1,0,2,1,TA,5,0,,2,576,112,0,,GdPrv,7,2007,Normal,Normal
16,20,RL,,11241,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,1Fam,1Story,6,7,1970,1970,Gable,TA,TA,CBlock,TA,TA,578,426,1004,GasA,Ex,Y,SBrkr,1004,0,1004,1,0,2,1,TA,5,1,TA,2,480,0,0,,,3,2010,Normal,Normal
17,90,RL,72.0,10791,Pave,Reg,Lvl,AllPub,Inside,Gtl,Duplex,1Story,4,5,1967,1967,Gable,TA,TA,Slab,,,0,0,0,GasA,TA,Y,SBrkr,1296,0,1296,2,0,2,2,TA,6,0,,2,516,0,0,,,10,2006,Normal,Normal
18,20,RL,66.0,13695,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1Story,5,5,2004,2004,Gable,TA,TA,PConc,TA,TA,646,468,1114,GasA,Ex,Y,SBrkr,1114,0,1114,1,1,3,1,Gd,6,0,,2,576,102,0,,,6,2008,Normal,Normal
19,20,RL,70.0,7560,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1Story,5,6,1958,1965,Hip,TA,TA,CBlock,TA,TA,504,525,1029,GasA,TA,Y,SBrkr,1339,0,1339,1,0,3,1,TA,6,0,,1,294,0,0,,MnPrv,5,2009,Abnorml,Abnorml
20,60,RL,101.0,14215,Pave,IR1,Lvl,AllPub,Corner,Gtl,1Fam,2Story,8,5,2005,2006,Gable,Gd,TA,PConc,Ex,TA,0,1158,1158,GasA,Ex,Y,SBrkr,1158,1218,2376,3,1,4,1,Gd,9,1,Gd,3,853,154,0,,,11,2006,Partial,Abnorml
21,45,RM,57.0,7449,Pave,Reg,Bnk,AllPub,Inside,Gtl,1Fam,1.5Unf,7,7,1930,1950,Gable,TA,TA,PConc,TA,TA,0,637,637,GasA,Ex,Y,FuseF,1108,0,1108,1,0,3,1,Gd,6,1,Gd,1,280,0,0,,GdPrv,6,2007,Normal,Normal
22,20,RL,75.0,9742,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1Story,8,5,2002,2002,Hip,Gd,TA,PConc,Gd,TA,0,1777,1777,GasA,Ex,Y,SBrkr,1795,0,1795,2,0,3,1,Gd,7,1,Gd,2,534,159,0,,,9,2008,Normal,Normal
23,120,RM,44.0,4224,Pave,Reg,Lvl,AllPub,Inside,Gtl,TwnhsE,1Story,5,7,1976,1976,Gable,TA,TA,PConc,Gd,TA,840,200,1040,GasA,TA,Y,SBrkr,1060,0,1060,1,0,3,1,TA,6,1,TA,2,572,110,0,,,6,2007,Normal,Normal
24,20,RL,,8246,Pave,IR1,Lvl,AllPub,Inside,Gtl,1Fam,1Story,5,8,1968,2001,Gable,TA,Gd,CBlock,TA,TA,188,204,1060,GasA,Ex,Y,SBrkr,1060,0,1060,1,0,3,1,Gd,6,1,TA,1,270,90,0,,MnPrv,5,2010,Normal,Normal
25,20,RL,110.0,14230,Pave,Reg,Lvl,AllPub,Corner,Gtl,1Fam,1Story,8,5,2007,2007,Gable,Gd,TA,PConc,Gd,TA,0,1566,1566,GasA,Ex,Y,SBrkr,1600,0,1600,2,0,3,1,Gd,7,1,Gd,3,890,56,0,,,7,2009,Normal,Normal
26,20,RL,60.0,7200,Pave,Reg,Lvl,AllPub,Corner,Gtl,1Fam,1Story,5,7,1951,2000,Gable,TA,TA,CBlock,TA,TA,234,180,900,GasA,TA,Y,SBrkr,900,0,900,1,0,3,1,Gd,5,0,,2,576,32,0,,,5,2010,Normal,Normal
27,20,RL,98.0,11478,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1Story,8,5,2007,2008,Gable,Gd,TA,PConc,Ex,TA,1218,486,1704,GasA,Ex,Y,SBrkr,1704,0,1704,2,0,3,1,Gd,7,1,Gd,3,772,50,0,,,5,2010,Normal,Normal
28,20,RL,47.0,16321,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,1Fam,1Story,5,6,1957,1997,Gable,TA,TA,CBlock,TA,TA,1277,207,1484,GasA,TA,Y,SBrkr,1600,0,1600,1,0,2,1,TA,6,2,Gd,1,319,258,0,,,12,2006,Normal,Normal
29,30,RM,60.0,6324,Pave,IR1,Lvl,AllPub,Inside,Gtl,1Fam,1Story,4,6,1927,1950,Gable,TA,TA,BrkTil,TA,TA,0,520,520,GasA,Fa,N,SBrkr,520,0,520,1,0,1,1,Fa,4,0,,1,240,0,0,,,5,2008,Normal,Normal
30,70,C (all),50.0,8500,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,2Story,4,4,1920,1950,Gambrel,TA,Fa,BrkTil,TA,TA,0,649,649,GasA,TA,N,SBrkr,649,668,1317,1,0,3,1,TA,6,0,,1,250,54,0,,MnPrv,7,2008,Normal,Normal
31,20,RL,,8544,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,1Fam,1Story,5,6,1966,2006,Gable,TA,TA,CBlock,TA,TA,0,1228,1228,GasA,Gd,Y,SBrkr,1228,0,1228,1,1,3,1,Gd,6,0,,1,271,65,0,,MnPrv,6,2008,Normal,Normal
32,20,RL,85.0,11049,Pave,Reg,Lvl,AllPub,Corner,Gtl,1Fam,1Story,8,5,2007,2007,Gable,Gd,TA,PConc,Ex,TA,0,1234,1234,GasA,Ex,Y,SBrkr,1234,0,1234,2,0,3,1,Gd,7,0,,2,484,30,0,,,1,2008,Normal,Normal
33,20,RL,70.0,10552,Pave,IR1,Lvl,AllPub,Inside,Gtl,1Fam,1Story,5,5,1959,1959,Hip,TA,TA,CBlock,TA,TA,1018,380,1398,GasA,Gd,Y,SBrkr,1700,0,1700,1,1,4,1,Gd,6,1,Gd,2,447,38,0,,,4,2010,Normal,Normal
34,120,RL,60.0,7313,Pave,Reg,Lvl,AllPub,Inside,Gtl,TwnhsE,1Story,9,5,2005,2005,Hip,Ex,TA,PConc,Ex,TA,1153,408,1561,GasA,Ex,Y,SBrkr,1561,0,1561,2,0,2,1,Ex,6,1,Gd,2,556,47,0,,,8,2007,Normal,Normal
35,60,RL,108.0,13418,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,2Story,8,5,2004,2005,Gable,Gd,TA,PConc,Ex,TA,0,1117,1117,GasA,Ex,Y,SBrkr,1132,1320,2452,3,1,4,1,Gd,9,1,Gd,3,691,32,0,,,9,2006,Normal,Normal
36,20,RL,112.0,10859,Pave,Reg,Lvl,AllPub,Corner,Gtl,1Fam,1Story,5,5,1994,1995,Gable,TA,TA,PConc,Gd,TA,0,1097,1097,GasA,Ex,Y,SBrkr,1097,0,1097,1,1,3,1,TA,6,0,,2,672,64,0,,,6,2009,Normal,Normal
37,20,RL,74.0,8532,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1Story,5,6,1954,1990,Hip,TA,TA,CBlock,TA,TA,1213,84,1297,GasA,Gd,Y,SBrkr,1297,0,1297,1,0,3,1,TA,5,1,TA,2,498,0,0,,,10,2009,Normal,Normal
38,20,RL,68.0,7922,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1Story,5,7,1953,2007,Gable,TA,Gd,CBlock,TA,TA,731,326,1057,GasA,TA,Y,SBrkr,1057,0,1057,1,0,3,1,Gd,5,0,,1,246,52,0,,,1,2010,Abnorml,Abnorml
39,90,RL,65.0,6040,Pave,Reg,Lvl,AllPub,Inside,Gtl,Duplex,1Story,4,5,1955,1955,Gable,TA,TA,PConc,,,0,0,0,GasA,TA,N,FuseP,1152,0,1152,2,0,2,2,Fa,6,0,,0,0,0,0,,,6,2008,AdjLand,Abnorml
40,20,RL,84.0,8658,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1Story,6,5,1965,1965,Gable,TA,TA,CBlock,TA,TA,643,445,1088,GasA,Ex,Y,SBrkr,1324,0,1324,2,0,3,1,TA,6,1,TA,2,440,138,0,,GdWo,12,2006,Abnorml,Abnorml
41,20,RL,115.0,16905,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1Story,5,6,1959,1959,Gable,TA,Gd,CBlock,TA,TA,967,383,1350,GasA,Gd,Y,SBrkr,1328,0,1328,1,1,2,1,TA,5,2,Gd,1,308,104,0,,,7,2007,Normal,Normal
42,85,RL,,9180,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,1Fam,SFoyer,5,7,1983,1983,Gable,TA,TA,CBlock,Gd,TA,747,0,840,GasA,Gd,Y,SBrkr,884,0,884,1,0,2,1,Gd,5,0,,2,504,0,0,,MnPrv,12,2007,Normal,Normal
43,20,RL,,9200,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,1Fam,1Story,5,6,1975,1980,Hip,TA,TA,CBlock,Gd,TA,280,167,938,GasA,TA,Y,SBrkr,938,0,938,1,0,3,1,TA,5,0,,1,308,0,0,,MnPrv,7,2008,Normal,Normal
44,20,RL,70.0,7945,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1Story,5,6,1959,1959,Gable,TA,TA,CBlock,TA,TA,179,465,1150,GasA,Ex,Y,FuseA,1150,0,1150,1,0,3,1,TA,6,0,,1,300,0,0,,,5,2006,Normal,Normal
45,120,RL,61.0,7658,Pave,Reg,Lvl,AllPub,Inside,Gtl,TwnhsE,1Story,9,5,2005,2005,Hip,Ex,TA,PConc,Ex,TA,456,1296,1752,GasA,Ex,Y,SBrkr,1752,0,1752,2,0,2,1,Ex,6,1,Gd,2,576,82,0,,,2,2010,Normal,Normal
46,50,RL,48.0,12822,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,1Fam,1.5Fin,7,5,2003,2003,Gable,Gd,TA,PConc,Ex,TA,1351,83,1434,GasA,Ex,Y,SBrkr,1518,631,2149,1,1,1,1,Gd,6,1,Ex,2,670,43,0,,,8,2009,Abnorml,Abnorml
47,20,FV,84.0,11096,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1Story,8,5,2006,2006,Gable,Gd,TA,PConc,Gd,TA,24,1632,1656,GasA,Ex,Y,SBrkr,1656,0,1656,2,0,3,1,Gd,7,0,,3,826,146,0,,,7,2007,Normal,Normal
48,190,RM,33.0,4456,Pave,Reg,Lvl,AllPub,Inside,Gtl,2fmCon,2Story,4,5,1920,2008,Gable,TA,TA,BrkTil,TA,TA,0,736,736,GasA,Gd,Y,SBrkr,736,716,1452,2,0,2,3,TA,8,0,,0,0,0,0,,,6,2009,Partial,Abnorml
49,20,RL,66.0,7742,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1Story,5,7,1966,1966,Gable,TA,TA,CBlock,TA,TA,763,192,955,GasA,Ex,Y,SBrkr,955,0,955,1,0,3,1,TA,6,0,,1,386,0,0,,MnPrv,1,2007,Normal,Normal
50,60,RL,,13869,Pave,IR2,Lvl,AllPub,Corner,Gtl,1Fam,2Story,6,6,1997,1997,Gable,TA,TA,PConc,Gd,TA,182,612,794,GasA,Gd,Y,SBrkr,794,676,1470,2,0,3,1,TA,6,0,,2,388,75,0,,,7,2007,Normal,Normal
51,50,RM,52.0,6240,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1.5Fin,6,6,1934,1950,Gable,TA,TA,PConc,TA,TA,0,816,816,GasA,TA,Y,SBrkr,816,0,1176,1,0,3,1,TA,6,1,Gd,2,528,0,0,,MnPrv,9,2006,Normal,Normal
52,90,RM,110.0,8472,Grvl,IR2,Bnk,AllPub,Corner,Mod,Duplex,1Story,5,5,1963,1963,Gable,Fa,TA,CBlock,Gd,TA,104,0,816,GasA,TA,N,SBrkr,816,0,816,1,0,2,1,TA,5,0,,2,516,0,0,,,5,2010,Normal,Normal
53,20,RL,68.0,50271,Pave,IR1,Low,AllPub,Inside,Gtl,1Fam,1Story,9,5,1981,1987,Gable,Gd,TA,CBlock,Ex,TA,1810,32,1842,GasA,Gd,Y,SBrkr,1842,0,1842,0,1,0,1,Gd,5,1,Gd,3,894,72,0,,,11,2006,Normal,Normal
54,80,RL,60.0,7134,Pave,Reg,Bnk,AllPub,Inside,Mod,1Fam,SLvl,5,5,1955,1955,Gable,TA,TA,CBlock,TA,TA,384,0,384,GasA,TA,Y,SBrkr,1360,0,1360,1,0,3,1,TA,6,1,TA,2,572,50,0,,MnPrv,2,2007,Normal,Normal
55,20,RL,100.0,10175,Pave,IR1,Lvl,AllPub,Inside,Gtl,1Fam,1Story,6,5,1964,1964,Gable,TA,TA,CBlock,TA,TA,490,935,1425,GasA,Gd,Y,SBrkr,1425,0,1425,2,0,3,1,TA,7,1,Gd,2,576,0,0,,,7,2008,Normal,Normal
56,160,FV,24.0,2645,Pave,Reg,Lvl,AllPub,Inside,Gtl,Twnhs,2Story,8,5,1999,2000,Gable,Gd,TA,PConc,Gd,TA,649,321,970,GasA,Ex,Y,SBrkr,983,756,1739,2,1,3,1,Gd,7,0,,2,480,0,0,,,8,2009,Abnorml,Abnorml
57,60,RL,89.0,11645,Pave,IR1,Lvl,AllPub,Corner,Gtl,1Fam,2Story,7,5,2004,2004,Gable,Gd,TA,PConc,Gd,TA,0,860,860,GasA,Ex,Y,SBrkr,860,860,1720,2,1,3,1,Gd,7,0,,2,565,70,0,,,8,2006,Normal,Normal
58,60,RL,66.0,13682,Pave,IR2,HLS,AllPub,CulDSac,Gtl,1Fam,2Story,10,5,2006,2006,Hip,Ex,TA,PConc,Ex,TA,0,1410,1410,GasA,Ex,Y,SBrkr,1426,1519,2945,3,1,3,1,Gd,10,1,Gd,3,641,0,0,,,10,2006,Partial,Abnorml
59,20,RL,60.0,7200,Pave,Reg,Bnk,AllPub,Inside,Gtl,1Fam,1Story,5,7,1972,1972,Gable,TA,TA,CBlock,TA,TA,632,148,780,GasA,Ex,Y,SBrkr,780,0,780,1,0,2,1,TA,4,0,,1,352,0,0,,MnPrv,1,2008,Normal,Normal
60,20,RL,63.0,13072,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1Story,6,5,2004,2004,Gable,TA,TA,PConc,Gd,TA,941,217,1158,GasA,Ex,Y,SBrkr,1158,0,1158,1,1,3,1,Gd,5,0,,2,576,50,0,,,5,2006,Partial,Abnorml
61,75,RM,60.0,7200,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,2.5Unf,5,7,1920,1996,Gable,TA,TA,BrkTil,TA,Fa,0,530,530,GasA,TA,N,SBrkr,581,530,1111,1,0,3,1,Fa,6,0,,1,288,0,0,,,3,2007,Normal,Normal
62,120,RL,44.0,6442,Pave,IR1,Lvl,AllPub,Inside,Gtl,TwnhsE,1Story,8,5,2006,2006,Gable,Gd,TA,PConc,Gd,Gd,24,1346,1370,GasA,Ex,Y,SBrkr,1370,0,1370,2,0,2,1,Gd,6,1,Gd,2,484,49,0,,,10,2007,Normal,Normal
63,70,RM,50.0,10300,Pave,IR1,Bnk,AllPub,Inside,Gtl,1Fam,2Story,7,6,1921,1950,Gable,TA,TA,BrkTil,TA,TA,0,576,576,GasA,Gd,Y,SBrkr,902,808,1710,2,0,3,1,TA,9,0,,2,480,11,0,,GdPrv,4,2010,Normal,Normal
64,60,RL,,9375,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,2Story,7,5,1997,1998,Gable,TA,TA,PConc,Gd,TA,739,318,1057,GasA,Ex,Y,SBrkr,1057,977,2034,2,1,3,1,Gd,8,0,,2,645,36,0,,GdPrv,2,2009,Normal,Normal
65,60,RL,76.0,9591,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,2Story,8,5,2004,2005,Gable,Gd,TA,PConc,Ex,TA,0,1143,1143,GasA,Ex,Y,SBrkr,1143,1330,2473,2,1,4,1,Gd,9,1,Gd,3,852,151,0,,,10,2007,Normal,Normal
66,20,RL,,19900,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1Story,7,5,1970,1989,Gable,TA,TA,CBlock,Gd,TA,912,1035,1947,GasA,TA,Y,SBrkr,2207,0,2207,2,0,3,1,TA,7,1,Gd,2,576,0,0,,,7,2010,Normal,Normal
67,20,RL,72.0,10665,Pave,IR1,Lvl,AllPub,Inside,Gtl,1Fam,1Story,7,5,2003,2003,Gable,Gd,TA,PConc,Gd,TA,1013,440,1453,GasA,Ex,Y,SBrkr,1479,0,1479,2,0,3,1,Gd,7,0,,2,558,29,0,,,6,2007,Normal,Normal
68,30,RM,47.0,4608,Pave,Reg,Lvl,AllPub,Corner,Gtl,1Fam,1Story,4,6,1945,1950,Gable,TA,Gd,CBlock,TA,TA,0,747,747,GasA,TA,Y,SBrkr,747,0,747,1,0,2,1,TA,4,0,,1,220,0,0,,,6,2010,Normal,Normal
69,50,RL,81.0,15593,Pave,Reg,Lvl,AllPub,Corner,Gtl,1Fam,1.5Fin,7,4,1953,1953,Gable,Gd,TA,CBlock,TA,TA,603,701,1304,GasW,TA,Y,SBrkr,1304,983,2287,2,0,3,1,TA,7,1,TA,2,667,21,0,,,7,2006,Normal,Normal
70,20,RL,95.0,13651,Pave,IR1,Lvl,AllPub,Inside,Gtl,1Fam,1Story,7,6,1973,1973,Gable,TA,Gd,CBlock,Gd,TA,1880,343,2223,GasA,Ex,Y,SBrkr,2223,0,2223,2,0,3,1,TA,8,2,Gd,2,516,0,0,,,2,2007,Normal,Normal
71,20,RL,69.0,7599,Pave,Reg,Lvl,AllPub,Corner,Gtl,1Fam,1Story,4,6,1982,2006,Gable,TA,TA,CBlock,TA,TA,565,280,845,GasA,TA,Y,SBrkr,845,0,845,1,0,2,1,TA,4,0,,2,360,0,0,,,6,2007,Normal,Normal
72,60,RL,74.0,10141,Pave,IR1,Lvl,AllPub,Corner,Gtl,1Fam,2Story,7,5,1998,1998,Gable,TA,TA,PConc,Gd,TA,0,832,832,GasA,Gd,Y,SBrkr,885,833,1718,2,1,3,1,TA,7,1,TA,2,427,94,0,,,12,2009,Normal,Normal
73,20,RL,85.0,10200,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1Story,5,7,1954,2003,Gable,TA,TA,CBlock,TA,TA,320,404,1086,GasA,Gd,Y,SBrkr,1086,0,1086,1,0,3,1,TA,6,0,,2,490,0,0,,GdWo,5,2010,Normal,Normal
74,50,RM,60.0,5790,Pave,Reg,Lvl,AllPub,Corner,Gtl,1Fam,2Story,3,6,1915,1950,Gambrel,Gd,Gd,CBlock,Fa,TA,0,840,840,GasA,Gd,N,SBrkr,840,765,1605,2,0,3,2,TA,8,0,,1,379,0,0,,,5,2010,Normal,Normal
75,180,RM,21.0,1596,Pave,Reg,Lvl,AllPub,Inside,Gtl,Twnhs,SLvl,4,5,1973,1973,Gable,TA,TA,CBlock,Gd,TA,462,0,462,GasA,TA,Y,SBrkr,526,462,988,1,0,2,1,TA,5,0,,1,297,101,0,,GdWo,11,2009,Normal,Normal
76,20,RL,,8475,Pave,IR1,Lvl,AllPub,Inside,Gtl,1Fam,1Story,4,7,1956,1956,Gable,TA,TA,CBlock,TA,TA,228,724,952,GasA,Ex,Y,FuseA,952,0,952,1,0,2,1,TA,4,0,,1,283,0,0,,,4,2008,Normal,Normal
77,50,RM,50.0,8635,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1.5Fin,5,5,1948,2001,Gable,TA,TA,CBlock,TA,TA,336,295,672,GasA,TA,Y,SBrkr,1072,213,1285,1,0,2,1,TA,6,0,,1,240,0,0,,MnPrv,1,2008,Normal,Normal
78,90,RL,72.0,10778,Pave,Reg,Lvl,AllPub,Inside,Gtl,Duplex,1Story,4,5,1968,1968,Hip,TA,TA,CBlock,TA,TA,0,1768,1768,GasA,TA,N,SBrkr,1768,0,1768,2,0,4,2,TA,8,0,,0,0,0,0,,,4,2010,Normal,Normal
79,50,RM,60.0,10440,Pave,Reg,Lvl,AllPub,Corner,Gtl,1Fam,2Story,5,6,1910,1981,Gable,TA,TA,PConc,TA,TA,0,440,440,GasA,Gd,Y,SBrkr,682,548,1230,1,1,2,1,TA,5,0,,2,440,0,0,,MnPrv,5,2009,Normal,Normal
80,60,RL,100.0,13000,Pave,Reg,Lvl,AllPub,Corner,Gtl,1Fam,2Story,6,6,1968,1968,Gable,TA,Gd,CBlock,Gd,TA,448,448,896,GasA,TA,Y,SBrkr,1182,960,2142,2,1,4,1,Gd,8,1,Gd,1,509,72,0,,,6,2009,Normal,Normal
81,120,RM,32.0,4500,Pave,Reg,Lvl,AllPub,FR2,Gtl,TwnhsE,1Story,6,5,1998,1998,Hip,TA,Gd,PConc,Ex,Gd,1201,36,1237,GasA,Ex,Y,SBrkr,1337,0,1337,2,0,2,1,TA,5,0,,2,405,199,0,,,3,2006,Normal,Normal
82,20,RL,78.0,10206,Pave,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1Story,8,5,2007,2007,Gable,TA,TA,PConc,Gd,TA,33,1530,1563,GasA,Ex,Y,SBrkr,1563,0,1563,2,0,3,1,Gd,6,1,Gd,3,758,99,0,,,10,2008,Normal,Normal
83,20,RL,80.0,8892,Pave,IR1,Lvl,AllPub,Inside,Gtl,1Fam,1Story,5,5,1960,1960,Gable,TA,TA,CBlock,TA,TA,0,1065,1065,GasA,Gd,Y,SBrkr,1065,0,1065,1,1,3,1,TA,6,0,,2,461,0,0,,,7,2007,Normal,Normal
84,80,RL,,8530,Pave,IR1,Lvl,AllPub,Inside,Gtl,1Fam,SLvl,7,5,1995,1996,Gable,TA,TA,PConc,Gd,TA,0,384,384,GasA,Gd,Y,SBrkr,804,670,1474,2,1,3,1,TA,7,1,TA,2,400,72,0,,,5,2009,Normal,Normal
